1,آذربایجان شرقی,2024-09-03 13:21:24.107739+00,t,
2,آذربایجان غربی,2024-09-03 13:21:24.107739+00,t,
3,اردبیل,2024-09-03 13:21:24.107739+00,t,
4,اصفهان,2024-09-03 13:21:24.107739+00,t,
5,البرز,2024-09-03 13:21:24.107739+00,t,
6,ایلام,2024-09-03 13:21:24.107739+00,t,
7,بوشهر,2024-09-03 13:21:24.107739+00,t,
8,تهران,2024-09-03 13:21:24.107739+00,t,
9,چهارمحال و بختیاری,2024-09-03 13:21:24.107739+00,t,
10,خراسان جنوبی,2024-09-03 13:21:24.107739+00,t,
11,خراسان رضوی,2024-09-03 13:21:24.107739+00,t,
12,خراسان شمالی,2024-09-03 13:21:24.107739+00,t,
13,خوزستان,2024-09-03 13:21:24.107739+00,t,
14,زنجان,2024-09-03 13:21:24.107739+00,t,
15,سمنان,2024-09-03 13:21:24.107739+00,t,
16,سیستان و بلوچستان,2024-09-03 13:21:24.107739+00,t,
17,فارس,2024-09-03 13:21:24.107739+00,t,
18,قزوین,2024-09-03 13:21:24.107739+00,t,
19,قم,2024-09-03 13:21:24.107739+00,t,
20,کردستان,2024-09-03 13:21:24.107739+00,t,
21,کرمان,2024-09-03 13:21:24.107739+00,t,
22,کرمانشاه,2024-09-03 13:21:24.107739+00,t,
23,کهگیلویه و بویراحمد,2024-09-03 13:21:24.107739+00,t,
24,گلستان,2024-09-03 13:21:24.107739+00,t,
25,لرستان,2024-09-03 13:21:24.107739+00,t,
26,گیلان,2024-09-03 13:21:24.107739+00,t,
27,مازندران,2024-09-03 13:21:24.107739+00,t,
28,مرکزی,2024-09-03 13:21:24.107739+00,t,
29,هرمزگان,2024-09-03 13:21:24.107739+00,t,
30,همدان,2024-09-03 13:21:24.107739+00,t,
31,یزد,2024-09-03 13:21:24.107739+00,t,
